"cosumer_product_company_name","cosumer_product_city","cosumer_product_state","cosumer_product_country","cosumer_product_description","cosumer_product_website","cosumer_product_linkedin","cosumer_products_page_url"
"Mongolian Gallery","New York","NY","United States","A boutique lifestyle store that brings an eclectic blend of culture and fashion while serving sustainable, fair-trade Mongolian cashmere, leather and wool products with the finest craftsmanship and high-end design.","","https://www.linkedin.com/company/mongolian-gallery/","https://nrfbigshow.nrf.com/company/mongolian-gallery"
"Brilliant You Denim","Greensboro","NC","United States","","","","https://nrfbigshow.nrf.com/company/brilliant-you-denim"
"GAMUT Management","Livingston","NJ","United States","","","","https://nrfbigshow.nrf.com/company/gamut-management"
"Espe","North York","ON","Canada","","","","https://nrfbigshow.nrf.com/company/espe"
"DaCosta Verde","Sao Paulo","","Brazil","","","","https://nrfbigshow.nrf.com/company/dacosta-verde"
"The Good Tee","Toronto","ON","Canada","The Good Tee is proudly making premium quality fashion basics for men, women and kids from made Certified Fair Trade Organic Cotton. We are a Fair Trade Certified B Corporation,on a mission to humanize the fashion industry by celebrating the good humans in the supply chain that make our sustainable t-shirts. The Good Tee ensures a fully transparent supply chain, ethical working conditions, and sustainability in manufacturing our products by being fully involved in the process from seed to shelf. When you wear The Good Tee, you'll look great while helping to ensure and celebrate the freedom and dignity of the makers.    Please stop by our booth and say hi! Proudly... Female-owned, ethically produced, and globally inspired.","https://thegoodtee.com/","https://www.linkedin.com/company/the-good-tee","https://nrfbigshow.nrf.com/company/good-tee"
"VIM AND VIGR","Missoula","MT","United States","Weaving style and quality into therapeutic threads, VIM & VIGR products are part designer socks, part medical device. Founded in 2013, our team is committed to creating VIM & VIGR products because we have seen the amazing results firsthand. After discovering our need for compression socks — to relieve achiness or fight fatigue from too much sitting or standing — we were completely underwhelmed by the quality and the style options. So we set out to create a compression sock that made us look good and feel great. We built our product starting with scientific insights — partnering with vascular surgeons and vein clinics. We found the right formula to create integrally knit, true graduated compression technology, then wove it together with functional fabrics that can stand up to the daily grind and stand out in a crowd. With VIM & VIGR compression socks, people from all walks of life discover year-round options to help them take on their day and experience everyday wellness.","","https://www.linkedin.com/company/vim-&amp;-vigr/","https://nrfbigshow.nrf.com/company/vim-and-vigr"
"Joselie KG","Vienna","","Austria","","","","https://nrfbigshow.nrf.com/company/joselie-kg"
"BILLY Footwear","Kent","WA","United States","BILLY Footwear is a wholesale and direct-to-consumer shoe company incorporating zippers into their designs, allowing unobstructed entry. You can literally Step In! heel-first. In the spirit of inclusion, we smashed fashion with function. Because let’s be honest, everyone loves a good looking convenient shoe. Flip. Zip. Go.","http://billyfootwear.com","https://www.linkedin.com/company/billy-footwear","https://nrfbigshow.nrf.com/company/billy-footwear"
"TAL WATCHES","Bronx","NY","United States","TAL WATCHES is a minority & veteran-owned business that was established in the summer of 2020. We offer you an innovative way to shop for the fine watches made in Switzerland & other countries, you are looking for and to purchase online from the convenience of your home or office at affordable prices. As a strictly Internet business, for now, we are able to eliminate much of the cost associated with a retail watch store and pass along the savings to our customers. We hope you'll enjoy your shopping experience with us and we invite you to stop by as often as you like. We will be here for you! We are an authorized dealer of Chrono AG Swiss-Made Watches based in Switzerland.  To learn more about TAL WATCHES, visit talswisswatch.com. Please also visit our Brand Store on Amazon or follow us on Instagram.","https://talswisswatch.com/","https://www.linkedin.com/company/talwatches","https://nrfbigshow.nrf.com/company/tal-watches"
"MaeMarie","Northville","MI","United States","","","","https://nrfbigshow.nrf.com/company/maemarie"
"Partake Foods","New York","NY","United States","","","","https://nrfbigshow.nrf.com/company/partake-foods"
"Wattle Cafe","New York","NY","United States","","","","https://nrfbigshow.nrf.com/company/wattle-cafe"
"Emily's Heirloom Pound Cakes","Homewood","AL","United States","","","","https://nrfbigshow.nrf.com/company/emilys-heirloom-pound-cakes"
"VITAVATE™","Diamond Bar","CA","United States","VITAVATE™ is a premium dietary supplement brand intentionally designed to support heart health, energy, and focus.","https://vitavate.com","https://www.linkedin.com/company/vitavate-products-llc/","https://nrfbigshow.nrf.com/company/vitavatetm"
"bevzi","Skokie","IL","United States","","https://www.bevzi.com","https://www.linkedin.com/company/bevzi-beverage-pod/","https://nrfbigshow.nrf.com/company/bevzi"
"Top Note Tonics and Soft Drinks","Milwaukee","WI","United States","Award-winning, craft soft drinks and mixers from former craft brewers. Flavor-wise, and savvy. These are low calorie and delicious (yes we figured that out) classic soft drinks and mixers. Finally someone is keeping it adult! Our complete profile is found at www.store.topnotetonic.com","http://www.store.topnotetonic.com","https://www.linkedin.com/showcase/top-note-tonics/","https://nrfbigshow.nrf.com/company/top-note-tonics-and-soft-drinks"
"Volcanica Coffee","Suwanee","GA","United States","Volcanica Coffee is a specialty coffee roaster offering exotic coffees from around the world. The company carries over 150 fresh roasted coffees sourced from volcanic regions around the world that are remarkable in flavor. The company carries a broad line of estate, peaberry, decaf, USDA organic and flavored coffees. VVolcanica Coffee has been serving customers for 20 years and is top rated by TrustPilot and Amazon. Volcanica Coffee’s website offers subscription and individual purchases located at www.VolcanicaCoffee.com.","","https://www.linkedin.com/company/volcanicacoffee","https://nrfbigshow.nrf.com/company/volcanica-coffee"
"Iya Foods","Naperville","IL","United States","Iya Foods focuses on good food made with good ingredients. Our products are delicious, nutritious, and created for ingredient-conscious consumers who are focused on overall well-being. As consumer demand for bold and exciting flavor grows, Iya continues to meet this demand by innovation through ingredients and snack technology. Iya’s approach focuses on a food ecosystem that is sustainable, climate change resilient, and affordable. Recently, we expanded to a new, approx. 40,000 sq ft facility with fully automated and cost-effective co-manufacturing capabilities that include: Baked Snacks Dry Blending Material Control R&D GF Product Innovation Kitchen","https://www.iyafoods.com/","https://www.linkedin.com/company/iyafoods/","https://nrfbigshow.nrf.com/company/iya-foods"
"FOLKUS","Brooklyn","NY","United States","FOLKUS is redefining sustainability by leveraging the cultural practices of Black folks to produce an award-wining product line of multipurpose stone paper gift wrap, stationery and packaging solutions.  FOLKUS stone paper is an alternative to wood pulp paper -- no trees, water or bleach are used in the manufacturing process, which means no deforestation and reduced CO2 emissions. FOLKUS stone paper is liquid/tear/grease/bacteria resistant. FOLKUS Stone paper can be used as gift/food/beverage bottle wrap, as a cover on tables and walls, as placemats, liners in drawers or shelves and as artwork.  FOLKUS office products/stationery are great both indoors and outdoors for maps and cookbooks.","http://folkus.co","https://www.linkedin.com/company/folkusco/","https://nrfbigshow.nrf.com/company/folkus"
"Shenelled It!","Katy","TX","United States","","https://shenelledit.com/","","https://nrfbigshow.nrf.com/company/shenelled-it"
"SiliSlick","New York","NY","United States","","","","https://nrfbigshow.nrf.com/company/silislick"
"Loxx Boxx Inc","Winston-Salem","NC","United States","","","","https://nrfbigshow.nrf.com/company/loxx-boxx-inc"
"3 Moms Organics LLC","East Hampton","NY","United States","Tick-borne diseases are on a sharp incline as ticks are spreading rapidly across the US. Do you want to keep your customers safe from ticks naturally AND have them return to your store because they're confident about the tick repellent you carry?        TickWise by 3 Moms Organics is a plant-based repellent that your customers will LOVE and bugs will HATE. It's extremely effective, DEET-free, and has a lemony fresh scent. We're a registered repellent in all 50 states, made in the USA, and 3 Moms Organics is a certified women-owned small business. TickWise has helped our retail partners achieve over $1M in sales. Come join in their success!       The health-conscious public wants a product that not only works but is also safe for their families- kids, dogs, and horses included. We help protect everyone in one bottle so there is no need to take up valuable shelf space with multiple products and multiple formulas. Make your store TIckWise and be part of the solution.        Let’s set up a meeting or come see us at booth 59 at the NRF. http://www.3momsorganics.com","https://3momsorganics.com","https://www.linkedin.com/in/tickwise-3-moms-organics-79161a230/","https://nrfbigshow.nrf.com/company/3-moms-organics-llc"
"Lynn & Liana Designs","Steinbach","MB","Canada","Serving your food on a resin-accented cheese board will elevate your presentation to a whole new level! Truly unique serveware can be difficult to find. We believe that you should have serveware that you can confidently place down in front of the most discerning guest, which is why we challenged ourselves to create something stunning out of an ordinary cheese board.Our one-of-a-kind high quality cheese boards and serving trays are hand-made and are not only beautiful, but functional works of art. The natural beauty of these hand-made items makes them conversation worthy pieces at parties and events. Each cheese board is made from Acacia hardwood and paired with an eco-friendly resin. Use these cheese boards as accent pieces in your kitchen, living room or dining room to start that next conversation.In addition to cheese boards, our resin artists also create beautiful designs on serving trays, Lazy Susans and Lucite trays. The serving trays can be used for charcuterie, serving beverages or even your next picnic. They make the perfect unique gift for Christmas, house-warmings, Mother’s Day, or any other special occasion.","https://www.lynnliana.com","","https://nrfbigshow.nrf.com/company/lynn-liana-designs"
"Super Brush LLC","Springfield","MA","United States","Super Brush LLC, the manufacturer of Swab-its® foam swabs, offers retail kits for car care, craft and hobby, printer and electronics, household, pet hygiene, and sporting equipment cleaning and maintenance.  Foam swabs are a unique category with performance benefits including lint-free, durable, washable, and re-usable.  Swab-its foam swabs are ideal for cleaning delicate instruments and auto display screens, removing dirt, dust and grime, cleaning excess ink from printers, face painting, art projects, and other crafting hobbies.   Featuring soft foam mitts, distribution or clean-up of solvents, paints, oil or lubricants is a breeze. Unique shapes and sizes provide a variety of tools perfect for the consumer.  Super Brush offers custom design and development, an in-house graphics department, and private label options and are completely made in the USA.","https://superbrush.com","","https://nrfbigshow.nrf.com/company/super-brush-llc"
"Tannus America","Spanish Fork","UT","United States","Tannus Armour is a foam tire insert that sits underneath the bicycle tire and over the tube. It's like a helmet for your tube.  It offers puncture resistance, comfort, and enhanced riding capabilities.","https://tannusamerica.com/","","https://nrfbigshow.nrf.com/company/tannus-america"
"Paintable Pictures","Columbus","OH","United States","","","","https://nrfbigshow.nrf.com/company/paintable-pictures"
"Tinkypoo","Plainfield","NJ","United States","","","","https://nrfbigshow.nrf.com/company/tinkypoo"
"Gusar LLC","Miami","FL","United States","","","","https://nrfbigshow.nrf.com/company/gusar-llc"
"CordBrick LLC","Naples","FL","United States","Phone charger cords falling behind your nightstand or cluttering up your desk? CordBrick is a new weighted phone cord holder & cord management device that solves multiple problems with one handy device. With ⅛ lb of steel inside and grippy silicone outside, CordBrick moves freely, and goes with your cord, because its wrapping & grabbing channels allows a user to wrap & contain [one or several] cords and, upon arrival, unwrap them untangled, creating a seamless transition between at-home use and cord management on-the-go - unlike any other device available. And, there's more: CordBrick has tons of handy uses WITH your phone, setting it further apart from the competition, and creating a totally new category of product: A Cord Multitool! CordBrick is useful for a variety of phone uses around charging stations, or wherever you want to use it! Once people try CordBrick, they wonder what they were doing before! With rust-proof steel and tear-proof & temperature tolerant silicone rubber, there's nothing to break or wear out, making CordBrick a permanent solution to your cord problems.","https://cordbrick.com/products/cordbrick","","https://nrfbigshow.nrf.com/company/cordbrick-llc"
"Doggy Bathroom","Montreal","QC","Canada","","","","https://nrfbigshow.nrf.com/company/doggy-bathroom"
"Grill Sergeant","Omaha","NE","United States","","","","https://nrfbigshow.nrf.com/company/grill-sergeant"
"Vital Organic Tattoo Care","Baltimore","MD","United States","https://www.vitalorganiclife.com            @thevitallady What is the fastest growing segment of the beauty/skincare market?  TATTOO CARE! 3 billion $ industry!  At Vital Organic Life we proudly create amazing organic tattoo aftercare products to soothe, moisturize and heal your body art. We never use chemicals or artificial preservatives in our products.  Our antiseptic new-tattoo-wash and tattoo butter are made in small batches in a climate-controlled environment, and always delivered fresh.  We never use: · Toxins and fillers · Artificial fragrances or colors  · Lanolin · Polyethylene glycol (PEG) · Parabens · Sodium laureth sulfate (SLES) · Sodium lauryl sulfate (SLS)  Ronée, our founder, learned to create her own range of organic products at the School of Natural Skincare. She is a firm believer in skin-friendly, natural and organic ingredients and is on a mission to “create a line of products that people can feel good about”. Ronée was inspired to become an organic skincare entrepreneur when her daughter became allergic to mass produced tattoo care, and decided to formulate a line of tattoo care products that will safely soothe and nourish all skin types.","https://vitalorganiclife.com","https://www.linkedin.com/company/vital-organic-tattoo-care/?viewAsMember=true","https://nrfbigshow.nrf.com/company/vital-organic-tattoo-care"
"Power Beauty Unlimited","Albany","NY","United States","Power Beauty Unlimited specializes in handcrafted medical cranial hair prostheses, fashion wigs that are fully customizable, and premium hair extensions. Each client receives a one-on-one consultation to determine how Power Beauty Unlimited can best meet their individual needs, with a focus on serving clients experiencing permanent to temporary hair loss as a result of cancer treatment, alopecia, Lupus, and a variety of other medical diagnoses that cause hair loss. Our certified wig designer produces adaptable wigs that have a natural appearance with premium imported hair from India that lasts 2–5 years with proper care We at Power Beauty Unlimited believe that true power and beauty begin within. As a result, we put our client's mental health and personal needs first.Our motto is ""Power and Beauty Starts Within,"" and we help our clients show it on the outside.","","https://www.linkedin.com/in/valrie-alexander-b91591208/","https://nrfbigshow.nrf.com/company/power-beauty-unlimited"
"Peregrine Supply Inc.","Burnaby","BC","Canada","Peregrine has been making men's grooming and skincare products since 2015. We started off small, spending our weekends at farmers markets and craft shows but we have grown into a multinational brand with stockists all over the US and Canada and abroad. Peregrine is owned and operated by husband and wife team Tyler Hill & Katrina Moscato-Hill. We wanted to be a company that promoted healthy, well rounded  men's culture, and that didn't rely on traditional or hyper-masculine stereotypes. We wanted to offer an alternative to what we were seeing in the market currently and create a community where all beards were welcomed. Peregrine Supply follows a strict set of guidelines we call the Guardian Model, to ensure all of our products are made sustainably. We believe environmental responsibility includes the people who make our product and harvest our ingredients as well as the planet. We follow the EWG's recommendations on safe ingredients, all of our packaging is eco-conscious and made with materials like post consumer plastics which helps divert waste from the landfill and gives new life to previously used materials.","http://www.peregrinesupply.com","https://www.linkedin.com/in/tyler-hill-6a8b57128/","https://nrfbigshow.nrf.com/company/peregrine-supply-inc"
"Cecile's Bath & Body","New York","NY","United States","","https://cecilesbathandbody.com/","https://www.linkedin.com/in/ceciles/","https://nrfbigshow.nrf.com/company/ceciles-bath-body"
"Bossy Cosmetics","Palo Alto","CA","United States","We ignite confidence in ambitious women through exquisitely-crafted cosmetics.  Our Power Woman Essentials Collection is vegan and cruelty-free and consists of award-winning lipsticks, lip glosses, eyeshadows, blush, highlighters, and eye pencils.","https://bossybeauty.com/","https://www.linkedin.com/company/bossybeautyinc/","https://nrfbigshow.nrf.com/company/bossy-cosmetics"
"Logic Products","Fairfield","IA","United States","Logic Products manufactures and sells proprietary safe and effective personal care products targeted towards parents and pet owners.  Our successful ‘best-of’ category brands are a unique collection of highly effective and proven-safe, non-toxic, and eco-friendly formulations. Founder Jill Taft was inspired to create her own eco-friendly, safe, and effective products for personal use after a school-yard lice outbreak infested her child’s classroom.  What started as late nights full of research and testing to find safe, non-toxic alternatives to the harsh formulas of lice treatment products already on the market, is now a group of interconnected lifestyle family brands.  With LiceLogic’s initial success in the marketplace, she developed new brands to satisfy the growing requests from customers so in response she launched TotLogic, BarkLogic and now SalonLogic.  We focus on the high growth sectors of educated consumers searching for innovative natural products that provide a greener lifestyle experience for the entire family & have built our brands in growing CPG silos through transparency, authenticity, and word-of-mouth - and thousands of 5 star reviews!","https://logicproducts.com","https://www.linkedin.com/company/logic-product-group/","https://nrfbigshow.nrf.com/company/logic-products"
"PiperWai","Brooklyn","NY","United States","","","","https://nrfbigshow.nrf.com/company/piperwai"
"King Cole Luxury Eyewear","Detroit","MI","United States","King Cole Luxury Eyewear  We are ""A Urban Fashion Lover's Paradise"". We strive to put the bling in everything. Our bling eyewear & clothing designs are carefully constructed to make you the center of attention wherever you go.  ﻿We are pursuing to become an exclusive worldwide leader for luxury urban fashion.  We are a family owned lifestyle brand that started in 2021 out of Detroit, MI by Lamar and Dounia Cole. We are partners with clothing manufacturer Zavi Sports who make sports wear including accessories. We have built strong relationships with our manufacturers and partners allowing us to be fully committed to delivering the best products for our customers.","https://kingcoleluxuryeyewear.com/","","https://nrfbigshow.nrf.com/company/king-cole-luxury-eyewear"
"Snuggle Hunny","Rouse Hill","NSW","Australia","Snuggle Hunny is Australia's snuggliest baby brand. We create beautiful baby clothes, swaddles, wraps, milestone cards and accessories that embrace Australia and the world around us, and are better for baby, people and planet. We're here to bring joy and delight and help everyone celebrate all the snuggly moments in bub's life journey. We believe in great design and high-quality products. Our unique and beautiful designs are exclusive to our brand. Working directly with artists, we create bespoke prints and turn them into contemporary baby swaddles, organic clothing, organic muslin wraps, nursery linen, bibs, milestone cards, baby accessories and more.  Our range is certified organic and we pride ourselves on working with factories that meet our high standards.","https://www.snugglehunnykids.com.au/","https://www.linkedin.com/company/snuggle-hunny/","https://nrfbigshow.nrf.com/company/snuggle-hunny"
