"title","primaryTitle","secondaryTitle","condition","primaryCategory","Style","Colorway","retailPrice","releaseDate","smallImageUrl","brand","model","description","styleId","currencyCode","countryCode","marketName","lowestAsk","numberOfAsks","highestBid","numberOfBids","annualHigh","annualLow","volatility","pricePremium","lastSale","changeValue","changePercentage","salesLast72Hours","size_wise_prices","page_url"
"Jordan 1 Retro High OG Chicago Lost and Found","Jordan 1 Retro High OG","Chicago Lost and Found","New","Air Jordan","DZ5485-612","Varsity Red/Black-Sail-Muslin","180","2022-11-19","https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1665691099","Jordan","Jordan 1 Retro High OG","The original Air Jordan 1 Chicago colorway was first introduced in 1985 and has only been retroed a few times since. But 2022 is the year that the colorway returns with an added vintage look. Pre-yellowed accents and cracked leather uppers showcase a fabricated look of age and wear. The Air Jordan 1 Lost and Found Chicago released in November of 2022 for $180.","DZ5485-612","USD","US","US","301","1881","462","3061","2000","230","0.037964","1.594","467","-6","-0.014375","401","US M 3.5: 301, US M 4: 327, US M 4.5: 319, US M 5: 370, US M 5.5: 376, US M 6: 375, US M 6.5: 381, US M 7: 390, US M 7.5: 419, US M 8: 420, US M 8.5: 445, US M 9: 449, US M 9.5: 467, US M 10: 468, US M 10.5: 480, US M 11: 494, US M 11.5: 499, US M 12: 485, US M 12.5: 470, US M 13: 475, US M 14: 470, US M 15: 425, US M 16: 419, US M 17: 583, US M 18: 900","https://stockx.com/air-jordan-1-retro-high-og-chicago-reimagined-lost-and-found"
"Jordan 11 Retro Cherry (2022)","Jordan 11 Retro","Cherry (2022)","New","Air Jordan","CT8012-116","White/Varsity Red/Black","225","2022-12-10","https://images.stockx.com/images/Air-Jordan-11-Retro-Cherry-2022-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1669100668","Jordan","Jordan 11 Retro","The Air Jordan 11 Cherry brings a Chicago colorway to the iconic patent leather sneaker. Cherry red patent leather mudguards surround the majority of the upper, alongside white leather and a matching Cherry red Jumpman. The lining features Cherry red cotton and with the signature 23 debossed on the heel tab. An icy blue outsole and Cherry red carbon fiber plate complete 2022’s Jordan 11 iteration.


The Air Jordan 11 Cherry was released on December 10, 2022 with a retail price of $225.","CT8012-116","USD","US","US","231","3645","311","1307","670","0","0.091167","0.182","266","-36","-0.119205","1258","US M 3.5: Price not confirmed, US M 4: 230, US M 4.5: 231, US M 5: 254, US M 5.5: 260, US M 6: 265, US M 6.5: 296, US M 7: 268, US M 7.5: 287, US M 8: 265, US M 8.5: 268, US M 9: 269, US M 9.5: 262, US M 10: 264, US M 10.5: 281, US M 11: 286, US M 11.5: 300, US M 12: 298, US M 12.5: 304, US M 13: 303, US M 14: 328, US M 15: 339, US M 16: 436, US M 17: 445, US M 18: 539","https://stockx.com/air-jordan-11-retro-cherry-2022"
"Jordan 1 Retro Low OG SP Travis Scott Black Phantom","Jordan 1 Retro Low OG SP","Travis Scott Black Phantom","New","Air Jordan","DM7866-001","Black/Phantom-Ale Brown-Racer Blue-Team Orange","150","2022-12-15","https://images.stockx.com/images/Air-Jordan-1-Retro-Low-OG-SP-Travis-Scott-Black-Phantom-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1671732011","Jordan","Jordan 1 Retro Low OG SP","","DM7866-001","USD","US","US","549","2678","705","2274","2676","500","0.102452","3.901","735","8","0.010219","807","US M 3.5: 633, US M 4: 580, US M 4.5: 549, US M 5: 599, US M 5.5: 610, US M 6: 622, US M 6.5: 649, US M 7: 649, US M 7.5: 619, US M 8: 695, US M 8.5: 744, US M 9: 729, US M 9.5: 800, US M 10: 750, US M 10.5: 750, US M 11: 749, US M 11.5: 775, US M 12: 750, US M 12.5: 709, US M 13: 672, US M 14: 738, US M 15: 841, US M 16: 791, US M 17: 1023, US M 18: 2084","https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-black-phantom"
"Nike SB Dunk Low Concepts Orange Lobster","Nike SB Dunk Low","Concepts Orange Lobster","New","Nike SB","FD8776-800","Orange Frost/Electro Orange/White","130","2022-12-20","https://images.stockx.com/images/Nike-SB-Dunk-Low-Concepts-Orange-Lobster-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1669707108","Nike","Nike SB Dunk Low","","FD8776-800","USD","US","US","342","1110","800","2154","1763","250","0.121611","2.846","500","35","0.075269","298","US M 4: 351, US M 4.5: 342, US M 5: 383, US M 5.5: 387, US M 6: 384, US M 6.5: 369, US M 7: 409, US M 7.5: 460, US M 8: 469, US M 8.5: 499, US M 9: 530, US M 9.5: 555, US M 10: 559, US M 10.5: 608, US M 11: 631, US M 11.5: 632, US M 12: 660, US M 12.5: 1825, US M 13: 739, US M 14: 900, US M 15: 1123","https://stockx.com/nike-sb-dunk-low-concepts-orange-lobster"
"adidas Forum Buckle Low Bad Bunny Last Forum","adidas Forum Buckle Low","Bad Bunny Last Forum","New","adidas","HQ2153","Cloud White/Clear Onix/Chalk White","160","2022-12-10","https://images.stockx.com/images/adidas-Forum-Buckle-Low-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1670919042","adidas","adidas Forum Buckle Low","","HQ2153","USD","US","US","194","2308","260","1527","530","169","0.084768","0.613","258","4","0.012363","432","US M 3.5: 405, US M 4: 280, US M 4.5: 220, US M 5: 265, US M 5.5: 249, US M 6: 261, US M 6.5: 241, US M 7: 244, US M 7.5: 245, US M 8: 248, US M 8.5: 249, US M 9: 248, US M 9.5: 245, US M 10: 249, US M 10.5: 243, US M 11: 230, US M 11.5: 210, US M 12: 213, US M 12.5: 199, US M 13: 197, US M 13.5: 200, US M 14: 194, US M 14.5: 195, US M 15: 214, US M 16: Price not confirmed","https://stockx.com/adidas-forum-buckle-low-white"
"New Balance 550 White Green","New Balance 550","White Green","New","New Balance","BB550WT1","White/Green","120","2021-06-24","https://images.stockx.com/images/New-Balance-550-White-Green-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1628002321","New Balance","New Balance 550","The New Balance 550 White Green features a smooth white leather upper with a grey suede toe wrap and green detailing. From there, a New Balance Basketball woven tongue label and matching sole completes the design.


The New Balance 550 White Green released in June of 2021 and retailed for $120.","BB550WT1","USD","US","US","175","591","275","528","920","134","0.160846","0.545","185","5","0.0261","185","US M 4: 186, US M 4.5: 193, US M 5: 214, US M 5.5: 226, US M 6: 236, US M 6.5: 247, US M 7: 241, US M 7.5: 216, US M 8: 186, US M 8.5: 177, US M 9: 175, US M 9.5: 181, US M 10: 236, US M 10.5: 292, US M 11: 314, US M 11.5: 340, US M 12: 432, US M 13: 356, US M 14: 424, US M 15: Price not confirmed, US M 16: 1297, US M 17: 201","https://stockx.com/new-balance-550-white-green"
"Nike Dunk Low Retro White Black Panda (2021)","Nike Dunk Low Retro","White Black Panda (2021)","New","Nike","DD1391-100","White/Black","110","2021-03-10","https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-2021-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1633027409","Nike","Nike Dunk Low Retro","From the school-spirited College Colors Program to the vibrant Nike CO.JP collection, Nike Dunks have seen many colorways since the design’s inception in 1985. But with each new colorway, the Dunk’s classic color-blocking has remained in some capacity. Nike put its timeless color-blocking to work with the Nike Dunk Low Retro White Black.


The upper Nike Dunk Low Retro White Black is constructed of white leather with black leather overlays and Swooshes. Classic Nike branding is featured on the nylon tongue, nodding to traditional Dunk design elements. A white midsole and black outsole complete the design.


The Nike Dunk Low Retro White Black released in January of 2021 and retailed for $100.


To shop all Nike Dunks, <a href=""https://stockx.com/nike/dunk"">click here.</a>","DD1391-100","USD","US","US","175","3518","220","1414","697","0","0.051978","0.809","199","21","0.11349","2379","US M 3.5: 395, US M 4: 529, US M 4.5: 320, US M 5: 340, US M 5.5: 348, US M 6: 221, US M 6.5: 226, US M 7: 185, US M 7.5: 180, US M 8: 179, US M 8.5: 175, US M 9: 175, US M 9.5: 174, US M 10: 186, US M 10.5: 203, US M 11: 207, US M 11.5: 221, US M 12: 208, US M 12.5: 223, US M 13: 217, US M 14: 228, US M 15: 195","https://stockx.com/nike-dunk-low-retro-white-black-2021"
"Jordan 4 Retro Midnight Navy","Jordan 4 Retro","Midnight Navy","New","Air Jordan","DH6927-140","White/Midnight Navy/Light Smoke Grey-Fire Red","210","2022-10-29","https://images.stockx.com/images/Air-Jordan-4-Retro-White-Midnight-Navy-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1667401281","Jordan","Jordan 4 Retro","The Air Jordan 4 Retro White Midnight Navy dresses in white, midnight navy, and light smoke grey colorway.


The upper of this Retro Air Jordan 4 sneaker is constructed from white leather with black support Wings, a matching black heel tab with embossed Jumpman branding, and navy molded eyelets. A second Jumpman icon adorns the woven tongue tag in crimson. The shoe rides on a two-tone polyurethane midsole, featuring encapsulated Air technology in the forefoot and a visible unit in the heel.


The Air Jordan 4 Retro White Midnight Navy was released on the 29th of October, 2022, for an initial retail price of $210.","DH6927-140","USD","US","US","262","3389","365","1552","720","206","0.066758","0.644","345","-4","-0.0126","481","US M 3.5: 272, US M 4: 300, US M 4.5: 350, US M 5: 309, US M 5.5: 375, US M 6: 365, US M 6.5: 369, US M 7: 353, US M 7.5: 354, US M 8: 325, US M 8.5: 322, US M 9: 310, US M 9.5: 310, US M 10: 313, US M 10.5: 319, US M 11: 312, US M 11.5: 319, US M 12: 310, US M 12.5: 344, US M 13: 304, US M 14: 295, US M 15: 290, US M 16: 296, US M 17: 262, US M 18: 700","https://stockx.com/air-jordan-4-retro-white-midnight-navy"
"Nike SB Dunk Low Sandy Bodecker","Nike SB Dunk Low","Sandy Bodecker","New","Nike SB","FD8777-100","White/Hyper Royal/Mean Green","130","2022-12-17","https://images.stockx.com/images/Nike-SB-Dunk-Low-eBay-Sandy-Boedecker-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1670484790","Nike","Nike SB Dunk Low","","FD8777-100","USD","US","US","155","1982","323","1534","1025","134","0","0.169","152","-17","-0.100592","563","US M 4: 175, US M 4.5: 176, US M 5: 155, US M 5.5: 161, US M 6: 156, US M 6.5: 160, US M 7: 159, US M 7.5: 162, US M 8: 173, US M 8.5: 192, US M 9: 199, US M 9.5: 200, US M 10: 225, US M 10.5: 220, US M 11: 233, US M 11.5: 228, US M 12: 250, US M 12.5: Price not confirmed, US M 13: 272, US M 14: 280, US M 15: 389","https://stockx.com/nike-sb-dunk-low-ebay-sandy-boedecker"
"Jordan 4 Retro A Ma Maniére Violet Ore","Jordan 4 Retro","A Ma Maniére Violet Ore","New","Air Jordan","DV6773-220","Violet Ore/Medium Ash-Black-Muslin-Burgundy Crush","225","2022-11-23","https://images.stockx.com/images/Air-Jordan-4-Retro-A-Ma-Maniere-Violet-Ore_V2-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1671732043","Jordan","Jordan 4 Retro","James Whitner’s A Ma Maniére and Jordan Brand partner up for this luxury AJ 4 silhouette. The new Air Jordan 4 A Ma Maniére features a deeply rich Violet Ore and vintage cream tones. Sleek metallic pins, tonal mesh detailing and a quilted interior add luxe detailing throughout the silhouette.


The Air Jordan 4 A Ma Maniére released in November of 2022 and retailed for $225.","DV6773-220","USD","US","US","295","2226","550","2740","1266","0","0.155285","1.252","507","171","0.506337","239","US M 4: 295, US M 4.5: 298, US M 5: 304, US M 5.5: 350, US M 6: 349, US M 6.5: 319, US M 7: 321, US M 7.5: 337, US M 8: 380, US M 8.5: 406, US M 9: 405, US M 9.5: 475, US M 10: 438, US M 10.5: 439, US M 11: 429, US M 11.5: 460, US M 12: 444, US M 12.5: 390, US M 13: 350, US M 14: 611, US M 15: 342, US M 16: 14000, US M 17: 23256, US M 18: 19999999","https://stockx.com/air-jordan-4-retro-a-ma-maniere-violet-ore"
"Jordan 4 Retro Military Black","Jordan 4 Retro","Military Black","New","Air Jordan","DH6927-111","White/Black-Neutral Grey","210","2022-05-21","https://images.stockx.com/images/Air-Jordan-4-Retro-Military-Black-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1652711257","Jordan","Jordan 4 Retro","Jordan Brand flipped one of its original Air Jordan 4 colorways for the Air Jordan 4 Military Black.


Pulling its color-blocked style from the Air Jordan 4 Military Blue, the Air Jordan 4 Military Black features a smooth white leather upper with a light grey Durabuck toe wrap and netted TPU inserts. Military Black eyelets, heel tabs, and underlays add a stark contrast to the upper. At the base, a white, black, and light grey sole with a visible Air unit completes the design.


The Air Jordan 4 Military Black released in May of 2022 and retailed for $210.","DH6927-111","USD","US","US","268","1937","500","1168","813","201","0.112579","1.433","511","12","0.023404","225","US M 3.5: 524, US M 4: 550, US M 4.5: 622, US M 5: 574, US M 5.5: 733, US M 6: 703, US M 6.5: 700, US M 7: 533, US M 7.5: 504, US M 8: 438, US M 8.5: 424, US M 9: 404, US M 9.5: 415, US M 10: 410, US M 10.5: 407, US M 11: 400, US M 11.5: 390, US M 12: 385, US M 12.5: 424, US M 13: 350, US M 14: 355, US M 15: 340, US M 16: 339, US M 17: 323, US M 18: 268","https://stockx.com/air-jordan-4-retro-military-black"
"Nike Dunk Low Retro White Black Panda (2021) (W)","Nike Dunk Low Retro","White Black Panda (2021) (W)","New","Nike","DD1503-101","White/Black","100","2021-03-10","https://images.stockx.com/images/Nike-Dunk-Low-White-Black-2021-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1611766850","Nike","Nike Dunk Low Retro","The Nike Dunk Low White Black 2021 women’s sneaker features a white and black leather upper with perforations on the toe box.The base of the upper starts with white leather, and black leather wraps around it in an even pattern. A black Nike Swoosh logo adorns either side of the upper and wraps around the ankle to complete the design. 


The Nike Dunk Low White Black 2021 women’s sneaker released in March of 2021 and retailed for $100.


To shop all Nike Dunks, <a href=""https://stockx.com/nike/dunk"">click here.</a>","DD1503-101","USD","US","US","176","1815","206","716","324","110","0.07589","1.03","203","5","0.024462","1087","US 5W: 190, US 5.5W: 180, US 6W: 176, US 6.5W: 180, US 7W: 184, US 7.5W: 183, US 8W: 197, US 8.5W: 205, US 9W: 219, US 9.5W: 200, US 10W: 209, US 10.5W: 203, US 11W: 200, US 11.5W: 187, US 12W: 198","https://stockx.com/nike-dunk-low-white-black-2021-w"
"Nike Dunk Low Retro White Black Panda (2021) (GS)","Nike Dunk Low Retro","White Black Panda (2021) (GS)","New","Nike","CW1590-100","White/Black-White","85","2021-03-10","https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-GS-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1613360456","Nike","Nike Dunk Low Retro","The Nike Dunk Low Retro White Black (GS) silhouette comes in a stark black and white colorway and is made from premium leather materials throughout. Additionally, white Nike lettering complements the rear ankle support of the silhouette while the Nike Air text along with the customary company Swoosh logo adorns the tongue. In keeping with the color scheme, a white midsole resting atop a black outsole rounds out the look of this Dunk Low Retro shoe. 


The Nike Dunk Low Retro White Black (GS) released in March of 2021 and retailed for $85.","CW1590-100","USD","US","US","135","2011","176","535","300","95","0.060842","0.882","160","-12","-0.069767","1049","US 3.5Y: 135, US 4Y: 147, US 4.5Y: 148, US 5Y: 158, US 5.5Y: 173, US 6Y: 160, US 6.5Y: 174, US 7Y: 178","https://stockx.com/nike-dunk-low-retro-white-black-gs"
"adidas Yeezy Slide Bone (2022 Restock)","adidas Yeezy Slide","Bone (2022 Restock)","New","Yeezy","FZ5897","Bone/Bone/Bone","60","2022-05-31","https://images.stockx.com/images/adidas-Yeezy-Slide-Bone-2022-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1660143189","adidas","adidas Yeezy Slide","DISCLAIMER: US and UK sizing is the same and does not require any conversion.
The adidas Yeezy Slide Bone (Restock Pair) features a slightly different composition than the original adidas Yeezy Slide Bone that debuted in the fall of 2019. Instead of a smooth EVA foam construction, it has a pebbled, more textural touch. At the base, a grooved sole and cushioned footbed completes the design.


The adidas Yeezy Slide Bone (Restock Pair) released in May of 2022 and retailed for $60.


To shop the original adidas Yeezy Slide Bone, <a href=""https://stockx.com/yeezy-slide-bone"">click here.</a>","FZ5897","USD","US","US","159","1564","202","504","367","79","0.110812","2.583","215","42","0.241598","517","US M 3: 151161, US M 4: 188, US M 5: 197, US M 6: 221, US M 7: 220, US M 8: 174, US M 9: 159, US M 10: 180, US M 11: 212, US M 12: 216, US M 13: 224, US M 14: 206, US M 15: 274, US M 16: 200","https://stockx.com/adidas-yeezy-slide-bone-2022"
"Jordan 4 Retro SE Black Canvas","Jordan 4 Retro SE","Black Canvas","New","Air Jordan","DH7138-006","Black/Light Steel Grey/White/Fire Red","210","2022-10-05","https://images.stockx.com/images/Air-Jordan-4-Retro-SE-Black-Canvas-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&fm=webp&auto=compress&q=90&dpr=2&trim=color&updated_at=1664433335","Jordan","Jordan 4 Retro SE","The Air Jordan 4 Retro SE Black Canvas arrives in a neutral color scheming with contrasting touches of crimson red.


This Black Canvas Air Jordan is a mid-top sneaker with a black canvas upper complemented by a gray tonal suede which covers the eyelets and forefoot overlays. A gray Jumpman logo graces the heel and woven tongue tag, with the latter getting a crimson Flight logo. The sneaker also rides on a two-tone polyurethane midsole with visible Air-sole cushioning in the heel.


The Air Jordan 4 Retro SE Black Canvas was released on the 5th of October 2022, and retailed at a price of $210.","DH7138-006","USD","US","US","356","1520","401","875","618","224","0.083646","0.803","379","-46","-0.110331","191","US M 3.5: 490, US M 4: 356, US M 4.5: 439, US M 5: 468, US M 5.5: 492, US M 6: 471, US M 6.5: 548, US M 7: 400, US M 7.5: 403, US M 8: 374, US M 8.5: 374, US M 9: 359, US M 9.5: 368, US M 10: 371, US M 10.5: 394, US M 11: 386, US M 11.5: 378, US M 12: 377, US M 12.5: 402, US M 13: 389, US M 14: 386, US M 15: 384, US M 16: 366, US M 17: 371, US M 18: 619","https://stockx.com/air-jordan-4-retro-se-black-canvas"
