"building_name","structured_build_start_date","structured_build_end_date","estimated_structured_build_end_date"
"smltwnhouse2","2022-01-13T00:22:46.000Z","2022-03-12T09:32:07.000Z","2022-03-12T09:31:11.727Z"
"smltownhouse","2021-08-16T11:19:57.500Z","2021-08-29T11:58:06.000Z","2021-08-29T11:57:39.341Z"
"smltwnhouse2","2021-09-25T14:47:58.500Z","2022-01-03T22:39:09.500Z","2022-01-03T22:38:40.758Z"
"smltwnhouse2","2022-03-24T18:39:01.000Z","2022-04-03T10:14:11.500Z","2022-04-03T10:13:16.581Z"
"smltwnhouse2","2022-01-25T18:22:15.500Z","2022-02-16T19:06:12.500Z","2022-02-16T19:05:21.111Z"
"smltwnhouse2","2022-01-25T18:28:35.000Z","2022-02-16T01:41:10.500Z","2022-02-16T01:40:39.960Z"
"smltwnhouse2","2022-01-25T18:31:32.000Z","2022-05-26T21:11:10.000Z","2022-05-26T21:10:51.960Z"
"smltwnhouse2","2022-01-25T18:25:27.000Z","2022-04-03T08:47:08.500Z","2022-04-03T08:46:28.308Z"
"smltwnhouse2","2022-06-23T20:55:16.500Z","2022-07-04T02:27:12.000Z","2022-07-04T02:26:25.212Z"
"smltownhouse","2022-06-23T19:33:07.500Z","2022-07-02T11:12:10.000Z","2022-07-02T11:12:06.092Z"
"smltwnhouse2","2022-01-25T18:22:15.500Z","2022-02-16T19:06:12.500Z","2022-02-16T19:05:21.111Z"
"smltwnhouse2","2022-01-17T16:54:22.000Z","2022-01-27T05:23:10.000Z","2022-01-27T05:22:43.250Z"
"smltwnhouse2","2021-12-15T19:38:00.000Z","2021-12-27T06:16:11.000Z","2021-12-27T06:15:56.576Z"
"smltwnhouse2","2022-01-25T18:28:35.000Z","2022-02-16T01:41:10.500Z","2022-02-16T01:40:39.960Z"
"smltownhouse","2021-12-12T16:03:10.500Z","2021-12-25T14:56:10.500Z","2021-12-25T14:56:00.231Z"
"smltwnhouse2","2022-06-23T20:43:53.000Z","2022-07-02T12:24:10.000Z","2022-07-02T12:23:48.172Z"
"smltwnhouse2","2022-01-25T18:31:32.000Z","2022-05-26T21:11:10.000Z","2022-05-26T21:10:51.960Z"
"smltwnhouse2","2021-12-12T15:59:10.500Z","2021-12-27T08:55:12.000Z","2021-12-27T08:54:35.324Z"
"smltwnhouse2","2022-01-13T00:25:35.000Z","2022-02-25T16:35:09.500Z","2022-02-25T16:34:26.895Z"
"smltwnhouse2","2022-06-23T20:50:49.000Z","2022-07-02T14:27:11.000Z","2022-07-02T14:26:19.854Z"
"smltwnhouse2","2021-08-29T13:53:51.500Z","2021-09-25T14:43:05.500Z","2021-09-25T14:42:52.448Z"
"smltwnhouse2","2022-01-25T18:25:27.000Z","2022-04-03T08:47:08.500Z","2022-04-03T08:46:28.308Z"
"smltwnhouse2","2022-06-23T20:55:16.500Z","2022-07-04T02:27:12.000Z","2022-07-04T02:26:25.212Z"
"smltwnhouse2","2021-08-07T22:52:36.000Z","2021-08-27T20:44:07.000Z","2021-08-27T20:43:16.139Z"
"smltwnhouse2","2022-03-04T19:13:41.500Z","2022-03-16T21:31:07.500Z","2022-03-16T21:30:43.967Z"
"smltwnhouse2","2022-03-27T00:07:58.000Z","2022-04-06T17:49:10.500Z","2022-04-06T17:49:02.908Z"
"smltwnhouse2","2021-09-05T12:28:38.000Z","2021-10-02T14:43:06.000Z","2021-10-02T14:42:28.541Z"
"smltwnhouse2","2021-09-05T12:31:41.500Z","2021-10-14T17:51:06.000Z","2021-10-14T17:50:47.373Z"
"smltwnhouse2","2022-02-18T01:53:15.000Z","2022-03-06T04:25:07.000Z","2022-03-06T04:24:25.768Z"
"smltwnhouse2","2022-04-18T05:34:10.000Z","2022-05-30T15:56:09.500Z","2022-05-30T15:55:16.569Z"
"smltwnhouse2","2022-03-27T00:10:44.500Z","2022-04-07T08:47:10.500Z","2022-04-07T08:46:06.993Z"
"smltwnhouse2","2022-05-13T15:38:07.000Z","2022-06-03T23:06:09.000Z","2022-06-03T23:05:21.390Z"
"smltwnhouse2","2022-04-27T22:07:19.000Z","2022-07-04T21:50:10.500Z","2022-07-04T21:49:38.795Z"
"townhouse","2022-02-09T00:50:30.500Z","2022-03-11T14:14:09.500Z","2022-03-11T14:13:25.312Z"
"smltwnhouse2","2022-05-20T19:38:47.500Z","2022-06-03T18:45:12.000Z","2022-06-03T18:44:51.080Z"
"smltwnhouse2","2022-04-23T18:54:06.500Z","2022-04-28T07:08:18.000Z","2022-04-28T07:07:29.254Z"
"smltwnhouse2","2022-02-01T02:26:33.500Z","2022-02-18T19:15:10.500Z","2022-02-18T19:14:09.688Z"
"townhouse","2022-05-19T00:46:35.000Z","2022-05-25T21:28:13.000Z","2022-05-25T21:27:53.871Z"
"townhouse","2022-03-03T19:56:02.000Z","2022-05-01T10:16:12.500Z","2022-05-01T10:15:42.694Z"
"townhouse","2022-03-23T22:51:30.000Z","2022-04-08T02:16:12.000Z","2022-04-08T02:15:42.761Z"
"townhouse","2022-02-08T17:17:13.500Z","2022-06-17T02:13:08.500Z","2022-06-17T02:12:53.979Z"
"townhouse","2022-03-04T19:09:54.000Z","2022-03-19T23:24:09.500Z","2022-03-19T23:23:41.782Z"
"townhouse","2022-05-06T02:37:42.000Z","2022-05-20T18:11:09.000Z","2022-05-20T18:10:48.842Z"
"townhouse","2022-04-27T21:47:59.000Z","2022-06-18T03:19:07.500Z","2022-06-18T03:18:33.871Z"
"townhouse","2022-02-11T23:21:11.500Z","2022-04-24T12:15:11.000Z","2022-04-24T12:14:08.505Z"
"ranchhouse","2022-04-16T23:14:57.000Z","2022-04-21T23:20:18.000Z","2022-04-21T23:20:03.019Z"
"townhouse","2022-03-24T19:43:46.000Z","2022-06-04T08:13:09.000Z","2022-06-04T08:12:31.809Z"
"townhouse","2022-06-17T02:55:18.000Z","","2023-12-10T18:55:18.000Z"
"smltwnhouse2","2022-01-17T17:59:04.500Z","2022-01-30T00:54:12.000Z","2022-01-30T00:53:10.461Z"
"ranchhouse","2022-01-11T18:03:13.500Z","2022-01-18T03:13:11.000Z","2022-01-18T03:12:53.842Z"
"ranchhouse","2022-01-21T17:22:16.500Z","2022-02-09T01:47:10.500Z","2022-02-09T01:46:42.206Z"
"ranchhouse","2022-03-25T04:32:18.000Z","2022-03-31T17:28:12.000Z","2022-03-31T17:27:04.869Z"
"ranchhouse","2022-01-22T17:29:06.500Z","2022-02-10T15:34:11.000Z","2022-02-10T15:28:52.607Z"
"townhouse","2022-02-11T16:00:55.000Z","2022-03-19T16:37:12.000Z","2022-03-19T16:36:10.941Z"
"luxranch","2022-06-23T03:08:16.000Z","2022-07-04T16:06:09.500Z","2022-07-04T16:05:35.307Z"
